RegionID,RegionName,State,SizeRank,rent_yoy_gr_2016_2018,rent_3yravg_yoy_gr_2014_2018,value_yoy_gr_2016_2018,value_3yravg_yoy_gr_2014_2018,price_to_rent_avg_201709_201808,price_to_rent_3yravg_2015_2018,pct_reduced_yoy_gr_2016_2018,pct_reduced_3yravg_yoy_gr_2014_2018,sale_price_yoy_gr_2016_2018,sale_price_3yravg_yoy_gr_2014_2018,ptrg_1yr_201709_201808,ptrg_3yr_2014_2018
84654,60657,IL,2,-0.028001747626802347,-0.010760147994470315,0.028431469082315874,0.03684868602173113,13.590833333333334,12.943333333333335,0.010899718166650859,0.021254621227329785,0.041465872250941914,-0.0009581822343279062,-4.853566111111093,-12.630712273026097
91982,77494,TX,4,0.0012991833704527906,-0.033020266294398304,0.01692287818111349,0.024998881444888585,11.575833333333334,11.238888888888889,-0.06422214053279317,0.002016113966838836,0.012395311450628178,0.03148324718390538,89.1008428571475,-3.5056753419632796
93144,79936,TX,6,0.0026611226611226234,-0.009820351763788378,0.033875434983310845,0.017956548269756244,9.768333333333333,9.419722222222221,0.04480372544509104,-0.038257855330893965,0.02489092339603751,0.035734977547245896,36.70756510416718,-9.94702997234085
91940,77449,TX,7,0.009928166793202018,0.008154690255952647,0.03717509070125745,0.06805993009561999,9.7925,9.287777777777778,-0.1286147508024568,0.13141934002944688,0.06036576299747237,0.05594227302499557,9.863351617647167,12.008426675497342
61630,10016,NY,14,0.019222112181507114,-0.007395640850467666,-0.029210762682079085,0.022114803032081836,23.49083333333333,22.191666666666663,0.2513855212169582,0.2527135644410253,0.010926795552031923,0.010387610658819407,12.220734699453578,-31.76308018235888
74101,37013,TN,15,0.02416953704244264,0.044731978882785385,0.132279377064653,0.12618605643613665,11.695,10.729722222222222,0.32426230876449735,0.03302700820343115,0.15762212507127935,0.13109315631486188,4.838735628019323,2.6144606816177975
92593,78660,TX,18,-0.007354059948267946,0.02062438753026831,0.05961573650503202,0.08145577319168341,11.584166666666667,10.910555555555556,0.38022819428649907,0.23653821384952778,0.02649903288201164,0.07065972280851135,-15.752069942528834,5.6167324482561085
96107,90250,CA,19,0.05947790910814728,0.053455294371421457,0.08676851256115992,0.09893746022835948,18.333333333333332,17.772499999999997,0.059660732126391204,-0.052231788810369655,0.05966478540864052,0.08690234473310555,3.0823769040028397,3.4296571647231997
74242,37211,TN,21,0.02646513150714821,0.048664589273298926,0.11480682635183719,0.1638606239096492,12.8675,11.761944444444445,0.5020393099380497,0.2552487496995121,0.0979028697571744,0.11704518789359471,4.862057835051565,2.6441197166458124
84620,60618,IL,24,-0.011785625671987428,0.018082798289094714,0.031713408031116656,0.06848744280995024,14.21,13.761944444444445,0.06934688586346598,0.05126770249042054,0.02485549132947977,0.03552058697932587,-12.057060350877196,7.858297025062597
92036,77573,TX,26,-0.00599375650364204,0.016752201423473907,0.050339578853963986,0.07418279027007078,9.881666666666666,9.410277777777779,-0.06146799037250849,-0.03630687225778571,0.09888400240104858,0.05761237017728559,-16.48660011574074,5.898727228064515
92045,77584,TX,28,-0.019101658942261877,-0.010169013459224384,0.037691760642080664,0.061614041230264066,10.248333333333335,9.725277777777778,-0.03315188996842677,0.06839774062990313,0.007160586418099645,0.05746274323924688,-5.365153552532125,-10.078001543047423
66126,20002,DC,31,-0.006158842995465131,0.03389609440680092,0.06707747971846115,0.09013159203059336,19.435,18.54861111111111,-0.08757397445478002,0.08310461607626926,0.06377443819662612,0.06099824860860148,-31.556251741293533,5.733698923171678
92271,78130,TX,32,0.009607185492581381,0.017436956268147053,0.08165870532037556,0.07137675089588276,11.280000000000001,10.754444444444445,0.22273218712439247,0.20092683593093286,0.0793611597318556,0.043382611670649274,11.741211834319593,6.469018919664169
97771,94565,CA,35,0.05010602371789845,0.074583950520492,0.09967410823153823,0.12010472508784042,15.204999999999998,14.63111111111111,0.03319882611662007,-0.05460246488854021,0.11324753608239121,0.10403547250578793,3.034565282131657,2.0386423478362694
93123,79912,TX,36,-0.007103393843725336,-0.01294105594807341,0.04810736732668594,0.02305841108867406,10.975833333333334,10.744444444444445,0.05484208310765826,-0.00044433785014508464,0.06127268751366718,0.04178548962807673,-15.45153425925926,-8.481404745775288
92551,78613,TX,38,-0.00775710274591915,0.00013899692788422983,0.03261827799000882,0.06074291337253579,13.275833333333333,12.488333333333332,0.20946410493583065,0.10711243343094362,0.02663315079151337,0.04122663089339997,-17.114422443762876,955.1170328304478
90654,75052,TX,39,0.034898820473974676,0.04199511867304619,0.10941783208660502,0.10996411992631779,10.621666666666668,9.994166666666667,0.17869926367406752,0.10044326970799371,0.08801253591015931,0.07720890641139251,3.0435603617571068,2.5292622100587114
66133,20009,DC,40,-0.026257945701895033,0.002279696151473059,0.005639183227977625,0.027714019628840108,16.868333333333336,16.328888888888887,0.11589782446836784,0.03359298861440479,-0.00667929738929395,0.03699898033444731,-6.424087217194585,73.9937790500441
91926,77433,TX,43,0.007248410026187846,-0.0039811526026527965,0.02577792892365252,0.026992290539357488,10.204999999999998,9.925277777777778,0.018844675000408068,0.027506129110817738,0.15895180502107392,0.05212416344859577,14.07894967741927,-25.633280154094095
89925,73099,OK,45,-0.0010733932644573876,-0.015480773089186316,0.010976948408342482,0.02012481587810894,10.799999999999999,10.493333333333332,0.056032196131059885,0.08697277081734206,0.054178643093443245,0.030591424893110508,-100.61549999998854,-6.976395776735499
